 Blood Bank Name, State, District, Address,Pincode, Mobile, Email, Website, Category, Blood Component Available, Latitude, Longitude
M/s. Indian Red Cross Society Component Blood Bank,Andhra Pradesh,WEST GODAVARI," General Hospital Premises, Eluru, West Godavai
",534006,9848177142,redcrosseluru@gmail.com,http://www.indianredcross.ap.org,Charity,YES,16.711919,81.094839
M/s. Alluri Sitrarama Raju Academy of Medical Sciences Blood Bank,Andhra Pradesh,WEST GODAVARI,"Ground Floor, Hospital Block, NH 5 Eluru, West Godavari 
",534005,"07382626281, 07382626282",asrams@yahoo.com,http://www.asram.in,Charity,YES,16.737395,81.146494
M/s. Good Samaritan Blood Bank,Andhra Pradesh,WEST GODAVARI,"D.No.13-1, Good Samaritan Cancer and General Hospital, Vangayagudem, Eluru, West Godavari
",534001,9440470715,samaritaneluru@gmail.com,http://goodsmaritanhospitals.com,Private,NO,18.179738,83.39551
M/s. Indian Red Cross Society Blood Bank jangareddi gudem,Andhra Pradesh,WEST GODAVARI,"Government Hospital Premises, Jangareddygudem",534447,9493009404,Bloodbankahjrg@gmail.com,http://www.indianredcross.ap.org,Government,NO,17.125307,81.273907
Indian Red Cross Society Blood Bank narasapuram,Andhra Pradesh,WEST GODAVARI,"C/o. Community Healthcare Center, Narsapuram",534275,8179704000,harshasatish555@gmail.com,http://www.indianredcross.ap.org,Charity,NO,16.45196,81.680205
Palakol Voluntary Blood Bank,Andhra Pradesh,WEST GODAVARI,"D.No. 47-1-12/2C, 1st floor, Beside Chamber of Commerce Building, Srinivasa Deluxe, Palakol
",534260,9885144415,palakolvoluntarybloodbank@gmail.com,,Charity,YES,16.517455,81.725342
Indian Red Cross Society Blood Bank Tanuku  (Repeated),Andhra Pradesh,WEST GODAVARI,"IRCS Sub Branch Doorno 27-14-9, Dodipatlavari Street
Tanuku, West Godavari District ",534211,,wgbloodbank@gmail.com,,,,16.757173,81.679963
Dr. Mulla Pudi Harischandra Prasad Red Cross Blood Bank,Andhra Pradesh,WEST GODAVARI,"D.No.27-14-9, Doddipatla Vari Street, Tanuku.",534215,9959312349,ircs.tanuku@gmail.com,http://www.indianredcross.ap.org,Charity,NO,16.757173,81.679963
Sri Buddala Narasimhamurty Voluntary Blood Bank,Andhra Pradesh,WEST GODAVARI,"D.No.34-4/5, Ground Floor, Supriya Towers, Tanuku
",534211,9133111131,nanibuddala@gmail.com,,Charity,YES,16.414033,80.647085
Rajiv Gandhi Institute of Medical Sciences Blood Bank,Andhra Pradesh,Y.S.R. (Kadapa),"Blood Bank Medical Officer, O.P. Block Ground Floor, Blood Bank, RIMS General Hospital,Puttlampalli, Kadapa ( RIMS, Kadapa).",516001,"09502577742, 09703158194","kadapabb@gmail.com balakrishna9999.1914@rediffmail.com, sgr2k2@gmail.com",,Government,YES,15.133392,78.514102
"Indian Red Cross Society, Blood Bank",Andhra Pradesh,Y.S.R. (Kadapa),"D.No. 10-971, Opposite to Mattipedda Puli, Trunk Road, Kadapa
",516001,9704798189,ircskadapa@gmail.com,,Charity,NO,14.467354,78.824134
Boga Parvathamma Blood Bank ,Andhra Pradesh,Y.S.R. (Kadapa),"A unit of boga parvathamma memorial blood donation service organization
d.no:7-137, second floor, jayanagar colony , Kadapa
  ",516002,9440269795,bogaparvathamma@yahoo.com,,Private,NO,14.467354,78.824134
Rajiv Gandhi Institute of Medical Sciences Blood Bank ,Andhra Pradesh,Y.S.R. (Kadapa),"RIIMS General Hospital ,Ground Floor, Putlam Palli Kadapa",516001,9703158194,,,Government,YES,0,0
Fathima Institute of Medical Sciences Blood Bank,Andhra Pradesh,Y.S.R. (Kadapa),"Ramarajupalli, Pulivendula Road Kadapa",516001,9440941709,,,Private,YES,0,0
District Hospital Blood Bank ,Andhra Pradesh,Y.S.R. (Kadapa),"APVVP, Gavini Circle, Yerraguntla Bypass Road, Proddatur",516360,8106104334,"mobb.pdtr@gmail.com,",,Government,NO,14.741621,78.550959
A.P Vaidyavidhanaparishad Area Hospital Blood Bank,Andhra Pradesh,Y.S.R. (Kadapa),"Proddatur, YSR",516360,9985198393,,,Government,YES,0,0
A.P. Vaidyavidhanaparishad Area Hospital - IRCS Blood Bank ,Andhra Pradesh,Y.S.R. (Kadapa),"Ground Floor, Muddanuru Road, Pulivendula",516390,9440978262,pulivendulabb2007@gmail.com harishkumar.kvr@gmail.com,http://www.sahss.org,Private,NO,14.422232,78.226339
Changlang District Hospital Blood Bank,Arunachal Pradesh,CHANGLANG,"District Hospital, Changlang District, Arunachal Pradesh",792120,9436068812,minsingngemu@gmail.com,,Government,NO,27.139258,95.738757
Pasighat General Hospital Blood Bank,Arunachal Pradesh,EAST SIANG,"General Hospital, Pasighat,  Jt. DHS (T&R), High Region, Near NH 52. ",791102,9436225890,gjonkey@gmail.com,,Government,NO,28.071544,95.325113
Lohit District Hospital Blood Bank,Arunachal Pradesh,LOHIT,"District Hospital Tezu, Lohit District, Arunachal Pradesh",792001,9436633161,dmolohit@gmail.com,,Government,NO,27.559574,96.101627
General Hospital Ziro  Blood Bank,Arunachal Pradesh,LOWER SUBANSIRI,"General Hospital Ziro, Lower Subansiri
 
",791120,"08415000448, 09402290012",bloodbankziro@gmail.com,,Government,NO,27.53875,93.822176
Ramakrishna Mission Hospital Blood bank,Arunachal Pradesh,PAPUM PARE,"Ramakrishna Mission Hospital 
P.O. Ramakrishna Mission
Itanagar
",791113,9.43605074609774E+020,rkmitanagar@gmail.com,,Charity,NO,27.086178,93.609065
Arunachal State Hospital Blood Bank,Arunachal Pradesh,PAPUM PARE,"Arunachal State Hospital / General Hospital, NH 52A, Lumer Dai Road",791110,"08731981187, 09436896857",neharlagumbloodbank@gmail.com,,Government,NO,27.103121,93.691936
Tawang District Hospital Blood Bank,Arunachal Pradesh,TAWANG,"District Hospital, Tawang District , Arunachal Pradesh",790104,9402222155,tengyal2233@gmail.com,,Government,NO,27.588943,91.864896
Tawang District Hospital Blood Bank ,Arunachal Pradesh,TAWANG,"Bomdila,Tawang",790104,9402795155,,,Government,,0,0
District Hospital Blood Bank,Arunachal Pradesh,UPPER SIANG,"Roing,Tezu, Upper Siang",,,,,Government,,0,0
Upper Siang District Hospital Blood Bank,Arunachal Pradesh,UPPER SIANG,"District Hospital, Yingkiong, Upper Siang District
Arunachal Pradesh.",791002,9436226409,dmoykggmail.com,,Government,NO,28.641662,95.025348
Upper Subansiri District Hospital Blood Bank,Arunachal Pradesh,UPPER SUBANSIRI,"District Hospital Daporijo, Upper Subansiri District
Arunachal Pradesh",791122,"08794050827, 09436089691",drbininirin@gmail.com,,Government,NO,27.981329,94.217428
West Siang District Hospital Blood Bank,Arunachal Pradesh,WEST SIANG,"District Hospital, Medical Complex, Aalo",791001,9436056268,yatugee@gmail.com,,Government,NO,28.169282,94.801031
Fakhruddin Ali Ahmed (FAA) Medical College Hospital Blood Bank,Assam,BARPETA,"Ground Floor  Fakhruddin Ali Ahmed Medical College, Jotigaon, Jania Road.
Opposite to Chaulkhowa River ",781301,"09435042865, 07896364895",bloodbankfaamc5@gmail.com,,Government,NO,26.323792,90.986661
Bongaigaon Civil Hospital Blood Bank,Assam,BONGAIGAON,"Main Road, Mayapuri,Bongaigaon",783380,9435021056,bloodbank.bongaigaon@gmail.com,,Government,NO,26.456671,90.560234
Lower Assam Hospital Blood Bank,Assam,BONGAIGAON,"Chapaguri Road, North Bongaigaon",783380,9435720622,"lowerassamhospital@yahoo.in, nmandal979@gmail.com",,Private,YES,26.492861,90.551479
Silchar Medical College and Hospital Blood Bank,Assam,CACHAR,"Krishnapur Medical Road, Ghungoor, Silchar
",788014,9435076209,bloodbanksmch@gmail.com,http://www.smcassam.gov.in/,Government,YES,24.775578,92.794251
Indian Red Cross Children Hospital Blood Bank,Assam,CACHAR,"Indian Red Cross Children Hospital, Tarapur, Silchar",788007,9401854401,ircs.silchar@yahoo.com,,Charity,NO,24.826127,92.796159
Barak Blood Bank and Clinical Research Centre,Assam,CACHAR,"Central Rd, Tarapur, Kanakpur Part-II",788005,9435071314,prdpnk@rediffmail.com,,Private,NO,24.808015,92.795242
Bongaigaon Refinery (BRPL) Hospital Blood Bank ,Assam,CHIRANG,"BRPL Refinery, iocl/bgr township",783385,9435121190,dr_dk_das@indianoil.in,,Government,NO,26.510577,90.522683
Mangaldoi Civil Hospital Blood Bank,Assam,DARRANG,"Mangaldoi Civil Hospital, NH 52, Mangaldoi, Darrang",784125,9854035697,bloodbank.mangaldoi@gmail.com,,Government,NO,26.437551,92.036395
Dhemaji Civil Hospital Blood Bank,Assam,DHEMAJI,"Ward No:9, Lachit Nagar, Natun Nagar Rd",787057,9678100660,bloodbank.dhemaji@gmail.com,,Government,NO,27.458026,94.574533
Dhubri Civil Hospital Blood Bank,Assam,DHUBRI,"Jhagrarpar, Dhubri",783325,9435028860,bloodbank.dhubri@gmail.com,,Government,NO,26.034365,89.963554
Assam Medical College and Hospital Blood Bank,Assam,DIBRUGARH,"Barbari, Dibrugarh",786002,9435033505,dbr.bloodbankamch@gmail.com,,Government,YES,27.486985,94.944179
Dr. Damani&#39,s Nursing Home Blood Bank,Assam,Dibrugarh,"L.G.B. Avenue, Near Circuit House",0373 2300928,0373 2302184,damani_medicos@rediffmail.com,"MBBS, MD",Private,A/F renewal,27.4898858,94.9229632
Aditya Diagnostic Hospital Blood Bank,Assam,DIBRUGARH,"Bordoloi Avenue, Dibrugarh",786005,9435030421,adityahospitalsdib@gmail.com,,Private,NO,27.491383,94.931116
Sri Manta Sankardeva Hospital and Research Centre Blood Bank,Assam,DIBRUGARH,"Chowkindinge, Mancotta Road",786001,9435269959,sshridibrugarh@yahoo.com,,Private,NO,0,0
Dirial Central Hospital Blood Bank,Assam,DIBRUGARH,"Diral Tea estate, Hoogrijan",786601,"09435181581, 09435748265","muninsharma1@rediffmail.com, rishavacks@gmail.com",,Private,NO,0,0
Oil India Limited Hospital Blood Bank,Assam,DIBRUGARH,"Oil Hospital, Duliajan",786602,9954498584,"malamani@oilindia.in, malamani123@yahoo.com",,Government,NO,27.359192,95.323648
Haflong Civil Hospital Blood Bank ,Assam,DIMA HASAO,"NH 54, Songpijaang, Haflong",788819,9435077512,haflongbloodbank@gmail.com,,Government,NO,25.165653,93.024831
Goalpara Civil Hospital Blood Bank,Assam,GOALPARA,"Agia Road, Goalpara",783121,9435023847,bloodbank.golpara@gmail.com,,Government,NO,26.142267,90.610584
Solace Hospital and Research centre Pvt.Ltd Blood bank,Assam,GOALPARA,"BOC Agia Road Road, P.O. Baladmari
Opposite to Assam Oil Petrol Pump",783121,9435323781,solacehospital@aol.in,,Private,NO,26.164643,90.624877
Kushal Konwar (KK) Civil Hospital Blood Bank,Assam,GOLAGHAT,"Abita Building, 1st floor,  Golaghat Near stataion Rd
",785621,9435151875,bloodbank.golaghai@gmail.com,,Government,NO,26.510171,93.964569
Vivekananda Kendra NRL Hospital Blood Bank,Assam,GOLAGHAT,"NRL Township, Numaligarh Refinery Complex",785699,9435478406,"vknrl.hospital@gmail.com, barnali.deuri@nrl.co.in",,Private,NO,26.591371,93.749516
S. K. Roy Civil Hospital Blood Bank ,Assam,HAILAKANDI,"Hailakandi Civil Hospital, NH 154, Bashdahar, Hailakandi",788151,9859763582,bloodbank.hailakandi@gmail.com,,Government,NO,24.671769,92.563355
Jorhat Medical College and Hospital Blood Bank ,Assam,JORHAT,"Telemedicine Department, KB Road, Kushal Nagar, Tarajan",785001,9435747816,bloodbank.jmch.jorhat@gmail.com,,Government,YES,26.742573,94.195109
Air Force Hospital Blood Bank,Assam,JORHAT,"Air Force station, Jorhat, 5, C/O 99 APO",785005,9706054599,drsunipat@gmail.com,,Government,NO,0,0
Greater Jorhat Lions Blood Bank,Assam,JORHAT,"Lions Multiple Service Centre, Sonali Jayanti Nagar",785001,"09854665019, 09854050900","chutiabipul@gmail.com, dranimesh@yahoo.com",,Charity,NO,26.753059,94.185964
Mahendra Mohan Choudhury (MMC) Hospital  Blood Bank,Assam,KAMRUP,"Panbazar, Guwahati",781001,9401389455,bloodbankmmchguwahati@gmail.com,,Government,NO,26.185505,91.740485
Dispur Blood Bank,Assam,KAMRUP,"Ganeshguri, Dispur",781006,9707020370,dishosp@gmail.com,,Private,YES,26.149823,91.786638
Saharia&#39,s Path Lab & Blood Bank,Assam,Guwahati,"Guwahati - Shillong Rd, Near Petrol Pump, ABC, Bhangagarh
Opposite Anil Plaza","0361-2458595, 0361 245 8594",N/A,sahariabloodbank@gmail.com,"MBBS, MD",Private,2019,26.16274,91.770664
International Hospital Blood Bank,Assam,KAMRUP,"Lotus Tower, G.S. Road, Christian Basti",781005,"09864017874, 07135005305","deeps.bhuyan@gmail.com, bloodbankihl.hosp@gmail.com",http://internationalhosp.com,Private,YES,26.154059,91.781267
Hayat Hospital Blood Bank,Assam,KAMRUP,"Odalbakra, Lalganesh",781034,9508122223,"hayathospital@gmail.com, hhqualitycontrol@gmail.com",,Private,NO,26.139171,91.746199
Rahman Hospital Private Limited Blood Bank,Assam,KAMRUP,"VIP Road, Sixmile, Khanapara, ",781022,9864010982,bloodbankrahmanhospitals@gmail.com,,Private,NO,26.135133,91.809429
GNRC Institute of Medical Sciences Blood bank,Assam,KAMRUP,"Sila Grant Town, North Guwahati , Near IIT Guwahati",781030,9706900636,drradhikalakhotia@gmail.com,,Private,YES,26.202192,91.693312
Central Hospital N. F. Railway Blood Bank,Assam,KAMRUP,"PNGB Road, Near Kamakhya Railway Station, Maligaon, Guwahati",781011,9957550524,"mdnfr@gmail.com, choudhurysuraj3@gmail.com",,Government,NO,26.151872,91.694899
G.N.R.C. Hospital Blood Bank,Assam,KAMRUP METRO,"Dispur, Guwahati",781006,9954088100,gnrclabservices@gmail.com,,Private,NO,26.1391,91.794024
Guwahati Medical College and Hospital (GMCH) State of The Art Model Blood Bank,Assam,KAMRUP METRO,"GMCH Complex, GMCH Rd, Bhangagarh, Guwahati",781032,9864096208,bloodbank.gmch.guwahati@gmail.com,,Government,YES,26.159914,91.768498
Dr. B. Borooah Cancer Institute Blood Bank,Assam,KAMRUP METRO,"Gopinath Nagar, Birubari, Guwahati",781016,9864016791,bbeibloodbank@gmail.com,http://www.bbcionline.org/index.htm,Government,YES,26.165087,91.747674
Assam Gujarat Voluntary Blood Bank and Research Centre,Assam,KAMRUP METRO,"33, Anil Mazamill Road, Lane opposite to Apsara Cinema
Manipuri Basti",781007,9864096134,agvrc5@gmail.com,,Private,NO,26.176689,91.753784
Down Town Hospital Blood Bank ,Assam,KAMRUP METRO,"4th Floor, Buiding No:1, G.S. Road, Dispur",781006,9706025061,drmayuri_13@yahoo.co.in,,Private,YES,26.136151,91.796833
Ganga Hospital Blood Bank,Assam,KAMRUP METRO,"G. S. Road, Lachit Nagar, Ulubari
Near KFC; Neubari",781007,8011010800,gangabloodbankghy@gmail.com,,Charity,YES,26.172081,91.759992
 Surakhya  Blood Bank ,Assam,KAMRUP METRO,"Arya Hospital complex, A.M. Road, Rehabri
Opposite Apsara Cinema Hall",781008,9864015329,surakhya2004@gmail.com,,Charity,NO,26.175065,91.75257
Marwari Hospital and Research Centre Blood Bank,Assam,KAMRUP METRO,"Sati Jaymati Road, Athgaon",781008,"09435049187, 07399044096",tarunbdutta@gmail.com,,Charity,YES,26.172012,91.740106
151 Base Hospital Blood Bank,Assam,KAMRUP METRO,"Basistha, Guwahati",781029,9959857437,manuchopra70@gmail.com,,Government,NO,26.104222,91.796169
Sanjevani Hospital Blood Bank,Assam,KAMRUP METRO,"Maligaon,  Guwahati",781011,8811091296,sanjevanihospital@gmail.com,,Private,NO,26.161206,91.70941
Narayana Hrudayalaya Limited Blood Bank,Assam,KAMRUP METRO,"Tularam Bafana Civil Hospital Campus, North Guwahati, Amingaon.",781031,"08811079324, 07086020485",hirakjyoti.das.dr@narayanahealth.org,http://www.narayanahealth.org,Private,YES,26.20775,91.678242
Diphu Civil Hospital Blood Bank,Assam,KARBI ANGLONG,"Diphu, Karbi Anglong",782460,9435066080,bloodbank.karbianglong@gmail.com,,Government,NO,25.844281,93.433805
Karimganj Civil Hospital Blood Bank,Assam,KARIMGANJ,Karimganj,788710,9401884355,bloodbank.karimganj@gmail.com,,Government,NO,24.867595,92.361806
R.N.B. Civil Hospital Blood Bank,Assam,KOKRAJHAR,"Habrubil, Gossaigaon, Kokrajhar",783370,9435026547,bloodbank.kokrajhar@gmail.com,,Government,NO,26.452881,89.976397
North Lakhimpur Civil Hospital Blood Bank,Assam,LAKHIMPUR,North Lakhimpur,787001,9435534330,bloodbank.lakhimpur@gmail.com,,Government,NO,27.242685,94.106483
Morigaon Civil Hospital Blood Bank,Assam,Morigaon,"KK Handique Path, Ward Number 7, Rajagaon, ",782105,"08011352918, 099574 59887",bloodbank.morigoan@gmail.com,,Government,NO,26.251646,92.354523
Haji Abdul Majid Memorial Hospital and Research Centre Blood Bank,Assam,NAGAON,"Hojai, Nagaon",782435,9435032531,hammhrc@gmail.com,,Charity,NO,26.015994,92.868186
Divisional Railway Headquarters Hospital Blood Bank,Assam,NAGAON,Lumding  ,N/A,9957553526,bhaskar.das@gmail.com,,Government,NO,0,0
B.P. Civil Hospital Blood Bank,Assam,NAGAON,"Civil Road, Nagaon",782001,9435061021,nagaonbloodbank@gmail.com,,Government,NO,26.344942,92.689464
North East Blood Bank and Research Centre,Assam,NAGAON,"N.H. 37, Haibargaon, ",782002,9435061932,gdhospital@redifmail.com,,Charity,NO,26.344263,92.680991
S. M. K. Civil Hospital Blood Bank ,Assam,NALBARI,Maszid Road ,781335,9435028232,bloodbank.nalbari@gmail.com,,Government,NO,26.448222,91.435618
Nalbari Maternity Hospital Blood Bank,Assam,NALBARI,Alternative Road,781335,9435194910,drrajusarma@gmail.com,,Private,NO,26.440614,91.43584
O.N.G.C. Limited Hospital Blood Bank,Assam,SIVASAGAR,Sivasagar ,785640,9435717271,manishagogoi@yahoo.co.in,,Government,NO,26.981201,94.651794
Pragati Hospital and Research Centre Blood Bank,Assam,SIVASAGAR,"A.T. Road, Sivsagar",785640,9854041744,,,Private,NO,26.997865,94.61976
Sivasagar Civil Hospital Blood Bank,Assam,SIVASAGAR,Joysagar,785640,9435057007,"bloodbank.sivsagar@gmail.com, bloodbank.sibsagar@gmail.com",,Government,NO,26.955222,94.611106
Catholic Hospital Blood Bank,Assam,SONITPUR,Borgang,784167,9957806732,borgangcatholichospital@yahoo.in,,Charity,NO,26.815339,93.320185
Kanaklata Civil Hospital Blood Bank,Assam,SONITPUR,"Main Road, Tezpur",784001,9435080847,sonitpurbloodbank@gmail.com,,Government,NO,26.628524,92.796499
155 Base Hospital Blood Bank,Assam,SONITPUR,Tezpur  ,784501,9435710555,preranaguleria@gmail.com,,Government,NO,26.655397,92.787317
Tezpur Medical College Hospital Blood Bank ,Assam,SONITPUR,Bihaguri,784010,8486893474,bloodbanktmch@gmail.com,,Government,NO,26.680968,92.653349
Indian Oil Corp Ltd (AOD) Hospital blood bank,Assam,TINSUKIA,"IOCL, Assam Division, Digboi",786171,9435506677,drashokkumar@indianoil.in,,Government,NO,27.39287,95.62943
Central Hospital  Coal India Limited,Assam,TINSUKIA,"Coal India Limited, Margerita",786184,9435138053,gmmrg1@sancharnet.in,,Government,NO,27.289292,95.674768
Tinsukia Civil Hospital Blood Bank,Assam,TINSUKIA,"Bordoloi Nagar, Tinsukia",786125,8876262939,bloodbanktinsukia@gmail.com,,Government,NO,27.498632,95.358861
Tinsukia Blood Bank,Assam,TINSUKIA,"S.R. Lohia Road, Chiravapathy, IMA House, Tinsukia",786125,9435269959,tinsukiabloodbank@yahoo.com,,Charity,NO,27.490438,95.363017
Sadar Hospital Aurangabad Blood Bank,Bihar,AURANGABAD,Old  G.T. Road,824101,,bloodbankabadbihar@gmail.com,,Government,NO,0,0
Meera Nursing Home Blood Bank and Research Centre,Bihar,BEGUSARAI,"Pokharia Rd, Chitragupta Nagar, Begusarai,",851101,9835642642,vjayk98222@gmail.com,,Private,NO,0,0
Rastra Kavi Dinkar Blood Bank,Bihar,BEGUSARAI,"Sadar Hospital, Begusarai

",851101,9431208750,bbdhbegusarai@gmail.com,,Government,NO,25.4138,86.13596
Deshratna Rajendra Prasad Memorial Rotary Blood Bank,Bihar,BEGUSARAI,"Kali Asthan,  P. O. Pokhanlya

",851101,"09431211796, 09835239088",rotarybloodbankbgs@gmail.com,,Charity,NO,0,0
Jawaharlal Nehru Medical College Hospital (JNMCH) Blood Bank,Bihar,BHAGALPUR,"Mayaganj, Tilkamanjhi, ",812001,9934456029,rbbjlnmch@gmail.com,http://www.jlnmcbgp.org/,Government,YES,25.264217,87.002126
Sadar Hospital Ara (Bhojpur) Blood bank,Bihar,BHOJPUR,"Sapna Cinema Road, Nawada,",802301,7870307773,,,Government,NO,25.559755,84.667554
Sadar Hospital Ara Blood Bank,Bihar,BHOJPUR,"Sadar Hospital Ara Blood Bank, Shivganj
",802301,"09507840742, 09334466166",N/A,,Government,NO,25.558506,84.670631
Maa Vindhyawasini Blood Bank ,Bihar,BHOJPUR,"Pakari Chauk, Near Malti Hospital",802301,"09835642642, 09430929650",maavindhyawasinibloodbank@gmail.com,,Private,NO,25.539954,87.56747
Indian Red Cross Blood Bank (IRCS) Blood Bank,Bihar,BHOJPUR,"South Ramna Road, Bhojpur",802301,9386399967,ircsbhojpur14@rediffmail.com,,Government,NO,25.559303,84.661958
Sadar Hospital Buxar Blood Bank,Bihar,BUXAR,"Old Campus of Sadar Hospital, Civil Line",802101,"09431235353, 09431083400",bloodbankshbuxar@gmail.com,,Government,NO,25.56471,83.977748
Darbhanga Medical College and Hospital (DMCH) Regional Blood Bank,Bihar,DARBHANGA,"Darbhanga Surgery Building, Ground Floor, DMCH Campus, DMCH Road",846003,,dmchdarbhanga@gmail.com,http://darbhangamedicalcollege.in/,Government,YES,26.133426,85.898943
"Indian Red Cross Society Blood Bank, Motihari",Bihar,EAST CHAMPARAN,"Red Cross Society Sadar Hospital road, Motihari, Red Cross Bhawan, Hospital Road",845401,9430276423,ircsbloodbankmotihari@gmail.com,,Charity,NO,26.647477,84.910299
Duncan Hospital Blood Bank,Bihar,EAST CHAMPARAN,"Near Nepal Custom Gate, East Champaran District, Raxaul",845305,,"duncanbloodbankanup@gmail.com, duncan@eha-health.org",http://www.duncanhospital-eha.org/,Charity,NO,0,0
Anugrah Narayan Memorial Magadh Medical College Hospital (ANMMCH) Blood Bank,Bihar,GAYA,Sher Ghati Road,823001,9570557188,moicbloodbankanmmchgaya@gmail.com,http://www.anmmc.bih.nic.in/,Government,NO,24.771176,84.960302
Bhagwan Mahabir Blood Bank,Bihar,GAYA,"Pilgrim Hospital Campus, G. B. Road, Chowk

",823001,9931624863,,,Private,NO,0,0
